15,                    Tobacco products,"19,012,832",0.02,"18,661,142","351,690",1.18,"203,101",1.50,"174,293","28,808",10.57,"97,609",0.15,"59,677","37,932",0.39,"309,128",0.00,"309,128",0,0.00,"218,651",0.00,"218,651",0,0.00,"1,979,149",0.00,"1,979,149",0,0.00,"190,415",0.11,"189,687",728,29.78,"357,525",0.00,"357,525",0,0.00,"122,610",0.00,"122,610",0,0.00,"28,546",0.00,0,"28,546",0.00,"1,136,716",0.00,"1,136,716",0,0.00,"223,363",0.00,"223,363",0,0.00,"111,803",0.00,"111,803",0,0.00,"50,300",0.00,"50,300",0,0.00,"920,869",0.00,"769,476","151,393",0.00,"405,389",0.12,"404,978",411,119.31,"202,021",0.00,"202,021",0,0.00,"125,661",0.00,"125,661",0,0.00,"369,501",0.00,"369,501",0,0.00,"161,030",0.00,"161,018",12,0.00,"125,978",0.00,"125,978",0,0.00,"356,684",0.00,"356,684",0,0.00,"553,261",0.00,"553,261",0,0.00,"887,071",0.00,"887,071",0,0.00,"626,533",0.00,"626,533",0,0.00,"138,722",0.00,"138,722",0,0.00
16,                    Public utilities,"27,403,556",1.85,"11,987,756","15,415,800",3.30,"791,156",0.88,"699,664","91,492",7.59,"18,765",0.43,"4,518","14,247",0.57,"221,813",2.28,"22,432","199,381",2.53,"158,803",4.67,0,"158,803",4.67,"4,158,212",10.78,"712,691","3,445,521",13.01,"167,288",4.30,0,"167,288",4.30,"273,076",0.00,"273,076",0,0.00,"56,010",1.60,"51,858","4,152",21.59,"187,656",0.00,0,"187,656",0.00,"3,947,202",3.74,"1,747,862","2,199,340",6.71,"402,320",9.86,0,"402,320",9.86,"266,351",0.00,"126,691","139,660",0.00,"39,814",3.60,"2,371","37,443",3.83,"2,558,509",3.33,"1,443,634","1,114,875",7.65,"271,860",4.91,"223,409","48,451",27.55,"275,472",3.23,"56,212","219,260",4.05,"236,384",3.81,392,"235,992",3.82,"398,265",2.35,"56,395","341,870",2.74,"163,796",8.60,"9,444","154,352",9.12,"27,740",4.04,"20,433","7,307",15.35,"618,702",0.01,"146,303","472,399",0.01,0,0.00,0,0,0.00,"86,428",5.80,"37,559","48,869",10.26,"151,412",4.03,51,"151,361",4.04,"66,075",5.94,"1,676","64,399",6.09
17,                    Other selective sales,"100,129,798",0.35,"80,749,560","19,380,238",1.81,"1,193,589",0.29,"1,025,045","168,544",2.08,"213,812",1.69,"128,147","85,665",4.22,"933,813",0.14,"790,834","142,979",0.94,"631,771",0.13,"572,020","59,751",1.33,"11,353,061",2.89,"8,091,616","3,261,445",10.05,"2,014,431",0.59,"1,698,737","315,694",3.78,"2,006,246",0.00,"2,006,246",0,0.00,"272,220",1.02,"258,716","13,504",20.52,"180,024",0.00,0,"180,024",0.00,"3,516,717",0.72,"2,366,956","1,149,761",2.21,"1,938,822",3.54,"999,068","939,754",7.29,"932,522",0.00,"875,140","57,382",0.00,"203,530",4.25,"185,376","18,154",47.61,"5,757,966",1.19,"3,659,881","2,098,085",3.28,"2,507,983",0.41,"2,336,980","171,003",6.05,"566,891",0.33,"506,955","59,936",3.11,"497,710",0.42,"456,178","41,532",5.07,"1,466,364",1.39,"1,032,665","433,699",4.70,"1,908,536",0.07,"1,749,344","159,192",0.88,"291,548",0.00,"291,504",44,0.00,"3,850,410",0.03,"3,331,866","518,544",0.19,"1,786,867",1.73,"1,308,102","478,765",6.47,"2,384,631",0.04,"2,163,411","221,220",0.43,"3,403,603",0.04,"3,308,890","94,713",1.59,"921,684",0.03,"874,369","47,315",0.54
18,          Individual income,"447,655,623",0.13,"410,093,667","37,561,956",1.58,"4,320,962",0.04,"4,194,844","126,118",1.48,0,0.00,0,0,0.00,"5,357,251",0.00,"5,357,251",0,0.00,"3,012,491",0.00,"3,012,491",0,0.00,"100,079,921",0.00,"100,079,921",0,0.00,"8,171,546",0.00,"8,171,546",0,0.00,"8,457,229",0.00,"8,457,229",0,0.00,"1,741,418",0.00,"1,741,418",0,0.00,"2,299,326",0.00,0,"2,299,326",0.00,0,0.00,0,0,0.00,"12,176,943",0.00,"12,176,943",0,0.00,"2,568,259",0.00,"2,568,259",0,0.00,"1,668,776",0.00,"1,668,776",0,0.00,"16,541,327",0.00,"16,541,327",0,0.00,"7,116,099",0.73,"6,056,960","1,059,139",4.93,"4,204,705",0.00,"4,098,020","106,685",0.00,"3,779,979",0.02,"3,778,453","1,526",41.21,"6,185,322",0.50,"4,629,057","1,556,265",2.00,"3,833,235",0.00,"3,833,235",0,0.00,"1,709,069",0.00,"1,709,069",0,0.00,"15,911,946",0.11,"10,067,080","5,844,866",0.31,"17,150,964",0.00,"17,150,964",0,0.00,"10,772,247",0.22,"10,150,323","621,924",3.73,"12,400,060",0.00,"12,400,060",0,0.00,"1,968,485",0.00,"1,968,485",0,0.00
19,          Corporate income,"65,675,755",0.06,"57,539,179","8,136,576",0.44,"684,296",0.00,"684,296",0,0.00,"332,520",0.00,"332,520",0,0.00,"514,264",0.00,"514,264",0,0.00,"533,915",0.00,"533,915",0,0.00,"13,792,519",0.00,"13,792,519",0,0.00,"794,659",0.00,"794,659",0,0.00,"900,419",0.00,"900,419",0,0.00,"296,721",0.00,"289,974","6,747",0.00,"642,656",0.00,0,"642,656",0.00,"3,114,711",0.00,"3,114,711",0,0.00,"1,271,270",0.00,"1,271,270",0,0.00,"190,484",0.00,"190,484",0,0.00,"284,961",0.00,"284,961",0,0.00,"3,090,679",0.00,"3,090,679",0,0.00,"752,610",0.05,"752,352",258,150.12,"535,594",0.00,"535,594",0,0.00,"486,421",0.00,"486,421",0,0.00,"768,027",0.20,"580,131","187,896",0.82,"495,473",0.00,"495,388",85,0.00,"252,867",0.00,"252,867",0,0.00,"1,301,050",0.00,"1,301,050",0,0.00,"2,946,667",0.00,"2,946,667",0,0.00,"1,142,671",0.00,"1,142,671",0,0.00,"1,711,659",0.00,"1,711,659",0,0.00,"494,811",0.00,"494,811",0,0.00
20,          Motor vehicle license,"30,435,723",0.21,"28,131,175","2,304,548",2.78,"263,551",0.78,"241,157","22,394",9.19,"58,215",0.10,"37,200","21,015",0.27,"267,361",0.00,"265,264","2,097",0.00,"168,295",0.00,"168,295",0,0.00,"4,929,132",0.12,"4,868,905","60,227",9.72,"552,328",0.48,"458,234","94,094",2.85,"243,358",0.00,"243,358",0,0.00,"59,061",0.00,"59,061",0,0.00,"45,973",0.00,0,"45,973",0.00,"1,474,100",0.00,"1,474,100",0,0.00,"387,076",0.00,"387,076",0,0.00,"415,411",0.00,"195,972","219,439",0.00,"215,046",0.43,"205,568","9,478",9.79,"1,767,932",0.09,"1,738,986","28,946",5.31,"412,896",4.11,"348,289","64,607",26.27,"707,375",0.47,"685,933","21,442",15.54,"260,777",2.14,"229,649","31,128",17.93,"227,211",0.25,"223,126","4,085",13.87,"82,931",0.27,"78,817","4,114",5.43,"117,210",0.01,"116,964",246,3.00,"517,039",0.00,"516,790",249,0.00,"448,837",0.00,"448,837",0,0.00,"1,375,049",0.00,"1,375,049",0,0.00,"867,317",0.24,"847,267","20,050",10.30,"171,469",0.00,"171,469",0,0.00
21,          Other taxes,"98,451,174",0.50,"64,337,796","34,113,378",1.45,"1,056,727",2.48,"414,563","642,164",4.08,"1,028,221",0.01,"1,010,867","17,354",0.66,"937,958",0.74,"491,973","445,985",1.55,"421,993",0.52,"373,951","48,042",4.57,"14,658,178",2.85,"6,282,881","8,375,297",5.00,"983,435",3.78,"456,860","526,575",7.06,"768,536",1.17,"604,847","163,689",5.49,"2,095,015",0.15,"1,902,490","192,525",1.58,"748,463",0.00,0,"748,463",0.00,"6,221,179",1.88,"3,718,944","2,502,235",4.67,"1,132,649",2.01,"503,261","629,388",3.62,"247,900",0.00,"190,675","57,225",0.00,"257,714",2.01,"190,559","67,155",7.70,"2,458,775",2.69,"1,535,227","923,548",7.16,"637,288",7.44,"421,015","216,273",21.93,"487,832",1.41,"404,475","83,357",8.26,"358,359",1.58,"259,091","99,268",5.69,"610,283",0.67,"503,310","106,973",3.83,"1,055,527",1.60,"864,680","190,847",8.85,"258,662",1.46,"226,698","31,964",11.85,"2,208,713",0.10,"988,868","1,219,845",0.19,"2,167,343",1.57,"1,693,636","473,707",7.18,"1,443,780",2.87,"1,060,533","383,247",10.82,"1,554,116",1.19,"1,234,737","319,379",5.78,"485,480",0.76,"392,813","92,667",3.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,     Charges and miscellaneous general revenue,"846,192,374",0.28,"411,727,021","434,465,353",0.54,"13,581,493",0.34,"7,341,840","6,239,653",0.73,"4,401,847",0.28,"3,194,277","1,207,570",1.02,"11,630,476",0.39,"6,246,934","5,383,542",0.84,"5,901,209",0.64,"4,047,602","1,853,607",2.05,"130,907,761",1.41,"45,669,940","85,237,821",2.16,"16,430,566",1.65,"7,049,253","9,381,313",2.89,"5,868,537",1.12,"4,226,928","1,641,609",4.01,"3,137,174",0.21,"2,571,754","565,420",1.14,"1,835,120",0.00,0,"1,835,120",0.00,"53,932,600",0.88,"18,586,782","35,345,818",1.34,"20,840,984",2.47,"6,846,254","13,994,730",3.67,"4,300,085",0.00,"3,223,205","1,076,880",0.00,"3,387,052",1.18,"1,415,825","1,971,227",2.03,"24,953,063",1.35,"10,892,468","14,060,595",2.39,"17,016,071",1.59,"6,928,425","10,087,646",2.69,"13,887,980",1.52,"8,929,515","4,958,465",4.26,"9,362,781",1.01,"5,744,973","3,617,808",2.61,"8,681,371",0.64,"5,521,749","3,159,622",1.75,"9,717,794",1.05,"4,612,760","5,105,034",1.99,"2,287,689",1.36,"1,441,563","846,126",3.67,"12,041,224",0.09,"6,823,819","5,217,405",0.21,"16,492,965",0.88,"11,775,523","4,717,442",3.07,"25,684,832",1.67,"14,994,590","10,690,242",4.02,"14,034,351",1.30,"5,737,501","8,296,850",2.19,"7,308,900",0.59,"3,112,572","4,196,328",1.04
23,          Current charges,"574,501,507",0.38,"247,791,514","326,709,993",0.67,"11,015,899",0.38,"5,681,732","5,334,167",0.79,"1,647,524",0.69,"718,452","929,072",1.22,"7,218,068",0.60,"3,322,512","3,895,556",1.11,"4,175,477",0.81,"2,905,892","1,269,585",2.65,"97,893,948",1.76,"35,355,403","62,538,545",2.76,"11,395,211",2.15,"4,812,198","6,583,013",3.73,"3,694,558",1.55,"2,496,289","1,198,269",4.78,"1,597,536",0.37,"1,155,204","442,332",1.34,"840,889",0.00,0,"840,889",0.00,"34,459,561",0.74,"8,738,751","25,720,810",0.99,"15,453,664",3.29,"3,988,780","11,464,884",4.43,"2,607,427",0.00,"1,790,173","817,254",0.00,"2,492,791",1.50,"884,725","1,608,066",2.33,"15,374,975",1.92,"5,389,781","9,985,194",2.95,"12,671,963",2.08,"4,145,809","8,526,154",3.09,"8,173,505",2.48,"4,113,110","4,060,395",4.99,"6,977,570",1.31,"4,454,890","2,522,680",3.63,"6,758,612",0.79,"4,147,380","2,611,232",2.04,"6,358,287",1.48,"2,148,435","4,209,852",2.24,"1,603,014",1.74,"917,831","685,183",4.08,"7,758,026",0.13,"3,956,201","3,801,825",0.27,"9,423,767",1.40,"6,046,473","3,377,294",3.90,"18,514,871",2.20,"10,383,193","8,131,678",5.00,"9,102,996",1.78,"2,987,121","6,115,875",2.64,"6,168,323",0.68,"2,416,324","3,751,999",1.12
24,               Education,"141,476,822",0.05,"117,093,956","24,382,866",0.27,"3,215,630",0.00,"2,871,502","344,128",0.00,"214,009",0.07,"188,163","25,846",0.58,"3,326,987",0.00,"2,845,139","481,848",0.00,"1,447,226",0.00,"1,283,742","163,484",0.00,"15,499,308",0.20,"13,170,329","2,328,979",1.32,"3,836,653",0.00,"3,261,622","575,031",0.00,"1,526,740",0.94,"1,419,047","107,693",13.39,"758,358",0.00,"744,040","14,318",0.00,"39,134",0.00,0,"39,134",0.00,"4,760,378",0.00,"2,772,281","1,988,097",0.00,"3,244,021",0.00,"2,685,895","558,126",0.00,"430,102",0.00,"430,102",0,0.00,"538,990",0.00,"462,139","76,851",0.00,"4,327,691",0.00,"3,009,906","1,317,785",0.00,"3,947,892",0.00,"3,622,326","325,566",0.00,"2,166,136",0.00,"1,628,020","538,116",0.00,"1,677,611",0.00,"1,252,799","424,812",0.00,"1,734,898",0.00,"1,641,731","93,167",0.00,"1,750,678",0.00,"1,703,325","47,353",0.00,"391,640",0.21,"351,530","40,110",2.07,"2,772,340",0.01,"2,290,366","481,974",0.05,"3,148,797",0.77,"2,704,631","444,166",5.45,"6,436,601",0.00,"5,289,573","1,147,028",0.00,"2,667,807",0.00,"2,072,458","595,349",0.00,"1,411,035",0.05,"1,065,357","345,678",0.19
25,                    Institutions  of higher education,"125,055,480",0.02,"116,057,880","8,997,600",0.34,"2,839,850",0.00,"2,839,850",0,0.00,"184,461",0.00,"182,867","1,594",0.00,"3,082,170",0.00,"2,838,681","243,489",0.00,"1,282,275",0.00,"1,282,275",0,0.00,"14,301,375",0.00,"13,169,772","1,131,603",0.00,"3,304,163",0.00,"3,259,230","44,933",0.00,"1,410,162",0.00,"1,410,162",0,0.00,"744,014",0.00,"744,014",0,0.00,"34,330",0.00,0,"34,330",0.00,"3,517,140",0.00,"2,751,158","765,982",0.00,"2,676,477",0.00,"2,676,477",0,0.00,"398,104",0.00,"398,104",0,0.00,"496,960",0.00,"460,787","36,173",0.00,"3,673,627",0.00,"3,008,195","665,432",0.00,"3,621,834",0.00,"3,621,834",0,0.00,"1,986,104",0.00,"1,627,352","358,752",0.00,"1,518,419",0.00,"1,249,642","268,777",0.00,"1,638,232",0.00,"1,638,232",0,0.00,"1,697,711",0.00,"1,697,711",0,0.00,"346,079",0.00,"346,079",0,0.00,"2,655,043",0.00,"2,289,875","365,168",0.00,"2,713,707",0.00,"2,694,994","18,713",0.00,"5,833,509",0.00,"5,283,375","550,134",0.00,"2,071,393",0.00,"2,071,393",0,0.00,"1,247,563",0.00,"1,059,405","188,158",0.00
26,                    School lunch sales (gross),"5,626,209",0.50,"34,605","5,591,604",0.51,"102,210",0.00,0,"102,210",0.00,"9,047",1.65,732,"8,315",1.79,"89,890",0.00,0,"89,890",0.00,"51,081",0.00,0,"51,081",0.00,"364,358",0.00,0,"364,358",0.00,"99,291",0.00,0,"99,291",0.00,"94,676",15.16,0,"94,676",15.16,"13,504",0.00,0,"13,504",0.00,"1,134",0.00,0,"1,134",0.00,"192,861",0.00,0,"192,861",0.00,"172,462",0.00,0,"172,462",0.00,"23,059",0.00,"23,059",0,0.00,"26,185",0.00,0,"26,185",0.00,"204,333",0.00,0,"204,333",0.00,"178,445",0.00,0,"178,445",0.00,"109,287",0.00,0,"109,287",0.00,"84,613",0.00,0,"84,613",0.00,"48,638",0.00,0,"48,638",0.00,"21,628",0.00,0,"21,628",0.00,"28,663",2.86,0,"28,663",2.86,"99,524",0.22,0,"99,524",0.22,"232,996",6.19,"5,327","227,669",6.33,"146,559",0.00,0,"146,559",0.00,"194,238",0.00,0,"194,238",0.00,"41,461",1.12,0,"41,461",1.12
27,               Hospitals,"182,260,912",0.41,"82,189,280","100,071,632",0.75,"5,854,962",0.07,"2,501,189","3,353,773",0.12,"427,901",0.00,"5,989","421,912",0.00,"583,614",0.55,57,"583,557",0.55,"1,465,942",1.57,"1,307,815","158,127",14.55,"32,945,654",1.01,"15,579,283","17,366,371",1.91,"2,508,356",2.47,"1,120,516","1,387,840",4.46,"473,759",0.00,"473,759",0,0.00,"5,582",0.00,"5,582",0,0.00,"121,618",0.00,0,"121,618",0.00,"9,315,059",0.25,"1,288,185","8,026,874",0.29,"5,458,821",8.74,"273,443","5,185,378",9.20,"453,706",0.00,"453,706",0,0.00,"617,662",1.76,"4,578","613,084",1.77,"2,201,482",4.74,"867,290","1,334,192",7.82,"5,124,454",0.00,57,"5,124,397",0.00,"4,255,737",4.53,"2,239,087","2,016,650",9.56,"3,621,131",2.29,"2,732,474","888,657",9.34,"2,830,652",1.08,"2,070,068","760,584",4.02,"2,403,034",3.25,"20,898","2,382,136",3.28,"146,989",0.19,"31,025","115,964",0.24,"173,228",0.00,"106,645","66,583",0.00,"392,823",0.00,"39,929","352,894",0.00,"5,603,048",1.85,"4,846,937","756,111",13.73,"2,028,005",5.22,"189,308","1,838,697",5.75,"3,756,501",0.81,"1,178,319","2,578,182",1.18
28,               Highways,"22,374,383",0.51,"12,968,317","9,406,066",1.22,"13,732",13.55,669,"13,063",14.25,"77,013",0.45,"73,393","3,620",9.50,"18,547",1.29,"15,114","3,433",6.94,"8,318",0.64,"7,370",948,5.61,"913,338",11.47,"33,899","879,439",11.91,"443,996",0.98,"173,793","270,203",1.61,"13,690",1.21,"12,369","1,321",12.53,"326,697",0.00,"206,278","120,419",0.00,"1,386",0.00,0,"1,386",0.00,"2,160,298",0.49,"1,962,950","197,348",5.40,"95,454",2.51,"67,387","28,067",8.54,"4,774",0.00,0,"4,774",0.00,"52,854",13.15,"6,718","46,136",15.06,"1,449,610",0.07,"1,439,114","10,496",9.47,"412,059",0.40,"401,992","10,067",16.34,"5,877",8.96,"1,433","4,444",11.85,"144,193",0.91,"131,886","12,307",10.66,"84,560",0.30,"76,735","7,825",3.19,"59,211",1.62,"44,425","14,786",6.49,"158,905",0.61,"150,977","7,928",12.23,"762,100",0.01,"745,785","16,315",0.31,"1,094,289",0.00,"1,094,266",23,46.78,"150,679",17.94,"31,971","118,708",22.77,"182,939",6.98,"15,992","166,947",7.65,"10,170",0.00,"8,644","1,526",0.00
29,               Air transportation (airports),"26,353,313",0.32,"1,988,160","24,365,153",0.35,"117,810",2.40,81,"117,729",2.40,"198,123",0.06,"179,987","18,136",0.68,"464,781",0.26,835,"463,946",0.26,"83,998",2.31,22,"83,976",2.31,"4,360,457",1.23,0,"4,360,457",1.23,"1,029,097",2.53,0,"1,029,097",2.53,"33,193",0.00,"30,585","2,608",0.00,"7,908",0.00,0,"7,908",0.00,0,0.00,0,0,0.00,"2,368,251",0.63,0,"2,368,251",0.63,"893,601",0.83,0,"893,601",0.83,"494,835",0.00,"494,835",0,0.00,"44,461",0.58,0,"44,461",0.58,"1,571,902",1.71,0,"1,571,902",1.71,"212,536",1.74,0,"212,536",1.74,"83,232",0.86,"1,638","81,594",0.88,"49,632",1.29,0,"49,632",1.29,"242,228",0.01,475,"241,753",0.01,"172,030",0.16,227,"171,803",0.16,"50,064",0.74,230,"49,834",0.74,"268,164",0.00,"255,198","12,966",0.03,"904,180",0.01,"873,739","30,441",0.24,"553,189",3.58,569,"552,620",3.58,"394,414",0.62,"1,854","392,560",0.62,"42,848",8.52,0,"42,848",8.52
30,               Parking facilities,"3,395,477",1.98,"28,522","3,366,955",2.00,"11,813",0.00,0,"11,813",0.00,"1,416",0.31,0,"1,416",0.31,"18,117",0.30,0,"18,117",0.30,"4,344",1.51,0,"4,344",1.51,"765,068",7.54,"13,671","751,397",7.67,"30,362",5.71,0,"30,362",5.71,"78,686",1.78,"4,831","73,855",1.90,"19,971",0.77,0,"19,971",0.77,"5,713",0.00,0,"5,713",0.00,"265,979",5.02,0,"265,979",5.02,"20,526",0.35,0,"20,526",0.35,"10,947",0.00,"2,728","8,219",0.00,659,0.00,0,659,0.00,"59,462",8.77,0,"59,462",8.77,"15,742",1.25,0,"15,742",1.25,"28,582",0.04,0,"28,582",0.04,"6,251",0.00,0,"6,251",0.00,"31,425",0.00,0,"31,425",0.00,"12,785",0.00,0,"12,785",0.00,"15,715",1.58,0,"15,715",1.58,"127,469",0.12,0,"127,469",0.12,"57,246",5.23,0,"57,246",5.23,"74,521",5.49,0,"74,521",5.49,"101,329",0.01,0,"101,329",0.01,"1,159",0.00,0,"1,159",0.00
31,               Sea and inland port facilities,"6,480,818",1.81,"2,152,632","4,328,186",2.71,"158,449",0.00,"158,449",0,0.00,"78,255",1.23,0,"78,255",1.23,0,0.00,0,0,0.00,"4,396",3.38,0,"4,396",3.38,"1,612,459",3.19,0,"1,612,459",3.19,0,0.00,0,0,0.00,879,0.00,0,879,0.00,"18,072",0.00,"18,072",0,0.00,0,0.00,0,0,0.00,"650,729",3.83,0,"650,729",3.83,"473,619",0.00,"473,619",0,0.00,"187,254",0.00,"187,254",0,0.00,"1,193",0.00,0,"1,193",0.00,0,0.00,0,0,0.00,"20,027",0.00,"13,498","6,529",0.00,11,0.00,0,11,0.00,0,0.00,0,0,0.00,"25,402",2.81,0,"25,402",2.81,"241,143",0.32,"128,161","112,982",0.69,"4,860",20.17,0,"4,860",20.17,"61,247",0.00,"61,247",0,0.00,"159,582",1.15,"149,101","10,481",17.46,"3,117",87.58,0,"3,117",87.58,"15,005",0.00,0,"15,005",0.00,"55,851",2.58,"30,826","25,025",5.75
32,               Natural resources,"5,498,341",1.99,"3,192,534","2,305,807",4.75,"7,035",1.56,"6,810",225,48.59,"24,012",0.02,"22,125","1,887",0.27,"122,669",15.52,"44,455","78,214",24.34,"25,707",6.04,"19,350","6,357",24.43,"1,999,582",3.08,"1,232,394","767,188",8.04,"79,689",26.05,"41,276","38,413",54.05,"33,185",0.55,"31,591","1,594",11.37,"1,747",0.00,"1,747",0,0.00,0,0.00,0,0,0.00,"589,370",6.45,"94,646","494,724",7.69,"64,235",0.42,"62,756","1,479",18.34,"23,987",0.00,"23,850",137,0.00,"122,771",13.20,"72,981","49,790",32.55,"69,725",8.76,"15,376","54,349",11.23,"52,623",5.80,"49,318","3,305",92.42,"107,350",1.27,"105,891","1,459",93.68,"45,808",8.41,"37,784","8,024",48.03,"64,586",1.16,"60,555","4,031",18.51,"13,917",0.86,"12,074","1,843",6.53,"23,659",1.76,"21,262","2,397",17.37,"23,509",1.37,"15,878","7,631",4.21,"32,877",1.56,"30,859","2,018",25.34,"69,831",6.89,"55,485","14,346",33.53,"97,878",8.16,"64,852","33,026",24.18,"32,352",3.70,"29,912","2,440",49.13
33,               Parks and recreation,"12,065,730",2.78,"1,812,068","10,253,662",3.27,"101,805",5.48,"2,454","99,351",5.62,"21,681",3.46,"3,567","18,114",4.15,"183,911",1.49,"51,448","132,463",2.06,"77,500",2.80,"29,111","48,389",4.48,"1,687,718",16.01,"124,700","1,563,018",17.29,"448,155",14.79,"18,302","429,853",15.42,"111,671",10.28,"33,697","77,974",14.72,"19,871",0.37,"16,742","3,129",2.33,"31,165",0.00,0,"31,165",0.00,"854,952",4.90,"53,201","801,751",5.23,"307,607",3.72,"146,091","161,516",7.09,"55,665",0.00,"19,182","36,483",0.00,"63,195",7.15,"11,908","51,287",8.81,"1,330,547",11.41,"4,356","1,326,191",11.44,"178,328",8.32,"33,832","144,496",10.27,"118,356",5.21,"4,765","113,591",5.43,"95,825",3.47,779,"95,046",3.49,"129,861",1.14,"59,952","69,909",2.12,"225,993",1.79,"98,953","127,040",3.19,"40,182",10.57,"1,601","38,581",11.01,"179,711",0.23,"34,343","145,368",0.28,"149,843",8.20,"73,928","75,915",16.19,"218,685",13.57,"7,239","211,446",14.03,"347,323",4.22,"41,544","305,779",4.79,"45,645",4.51,"1,400","44,245",4.66
34,               Housing and community development,"7,464,434",2.57,"892,332","6,572,102",2.91,"118,050",13.26,"49,257","68,793",22.76,"46,192",16.64,"12,195","33,997",22.61,"30,783",0.25,"7,664","23,119",0.34,"31,460",28.60,181,"31,279",28.77,"878,263",13.18,"1,520","876,743",13.20,"198,977",32.63,97,"198,880",32.65,"140,143",19.16,"11,292","128,851",20.84,"16,747",0.00,"8,291","8,456",0.00,"49,648",0.00,0,"49,648",0.00,"297,192",10.16,"5,296","291,896",10.34,"146,270",25.92,"5,801","140,469",27.00,"36,761",0.00,"24,814","11,947",0.00,"59,388",2.94,"48,977","10,411",16.79,"250,970",11.64,"29,387","221,583",13.18,"84,079",18.36,"5,004","79,075",19.52,"24,692",9.29,"13,163","11,529",19.90,"48,174",30.03,"5,977","42,197",34.29,"41,363",5.86,"20,116","21,247",11.40,"42,361",14.82,"1,966","40,395",15.54,"40,597",21.18,"6,833","33,764",25.46,"218,220",0.18,"14,149","204,071",0.20,"391,830",13.99,"9,137","382,693",14.32,"63,521",20.93,"8,288","55,233",24.07,"316,720",8.40,"16,743","299,977",8.87,"35,013",21.02,"1,748","33,265",22.12
35,               Sewerage,"63,068,533",2.17,"1,061,827","62,006,706",2.21,"607,768",2.25,0,"607,768",2.25,"118,030",1.64,0,"118,030",1.64,"955,375",3.36,0,"955,375",3.36,"362,087",4.13,0,"362,087",4.13,"9,333,394",10.94,0,"9,333,394",10.94,"1,111,113",15.83,0,"1,111,113",15.83,"455,992",7.01,0,"455,992",7.01,"177,684",2.57,0,"177,684",2.57,"403,029",0.00,0,"403,029",0.00,"3,808,270",5.34,0,"3,808,270",5.34,"2,244,301",5.04,0,"2,244,301",5.04,"530,350",0.00,0,"530,350",0.00,"296,122",9.27,0,"296,122",9.27,"1,509,970",10.97,0,"1,509,970",10.97,"2,054,098",11.90,0,"2,054,098",11.90,"657,380",7.21,0,"657,380",7.21,"528,238",3.83,0,"528,238",3.83,"736,938",2.32,0,"736,938",2.32,"534,182",6.62,0,"534,182",6.62,"199,809",10.61,0,"199,809",10.61,"1,436,369",0.69,"167,022","1,269,347",0.78,"1,842,933",5.27,"494,872","1,348,061",7.20,"1,934,042",10.43,0,"1,934,042",10.43,"1,203,894",6.70,"281,990","921,904",8.76,"302,118",5.87,0,"302,118",5.87
36,               Solid waste management,"19,248,869",2.50,"271,556","18,977,313",2.54,"253,158",6.38,"7,607","245,551",6.57,"95,094",0.55,0,"95,094",0.55,"504,318",1.75,"3,754","500,564",1.77,"189,997",6.69,76,"189,921",6.69,"3,325,408",11.81,0,"3,325,408",11.81,"137,369",10.94,"3,802","133,567",11.25,"161,294",7.44,"77,508","83,786",14.33,"87,143",2.95,"72,098","15,045",17.10,"6,528",0.00,0,"6,528",0.00,"2,515,192",4.04,44,"2,515,148",4.04,"693,026",8.00,0,"693,026",8.00,"191,014",0.00,0,"191,014",0.00,"192,825",4.11,0,"192,825",4.11,"379,505",13.97,0,"379,505",13.97,"155,131",36.44,0,"155,131",36.44,"302,437",9.93,"4,742","297,695",10.08,"172,201",11.00,0,"172,201",11.00,"136,531",7.99,"1,312","135,219",8.06,"232,016",8.33,0,"232,016",8.33,"55,335",17.70,0,"55,335",17.70,"460,508",0.55,112,"460,396",0.55,"128,619",18.35,0,"128,619",18.35,"262,615",11.12,0,"262,615",11.12,"349,594",6.79,0,"349,594",6.79,"166,141",9.14,0,"166,141",9.14
37,               Other charges,"84,813,876",1.65,"24,140,330","60,673,546",2.30,"555,686",5.75,"83,714","471,972",6.77,"345,797",2.29,"233,033","112,764",7.03,"1,008,966",1.90,"354,046","654,920",2.93,"474,502",2.37,"258,225","216,277",5.20,"24,573,298",5.08,"5,199,607","19,373,691",6.44,"1,571,445",7.93,"192,790","1,378,655",9.04,"665,325",4.88,"401,610","263,715",12.32,"157,756",1.74,"82,354","75,402",3.63,"182,668",0.00,0,"182,668",0.00,"6,873,893",1.26,"2,562,148","4,311,745",2.01,"1,812,181",6.21,"273,788","1,538,393",7.31,"188,032",0.00,"153,702","34,330",0.00,"502,672",2.28,"277,424","225,248",5.09,"2,224,110",6.54,"24,352","2,199,758",6.61,"414,996",18.69,"19,782","395,214",19.62,"423,714",6.22,"114,371","309,343",8.52,"588,505",3.68,"293,191","295,314",7.34,"700,168",5.49,"216,436","483,732",7.94,"670,936",5.02,"138,406","532,530",6.32,"475,258",2.49,"354,373","120,885",9.80,"1,275,161",0.12,"265,456","1,009,705",0.16,"1,120,748",5.38,"576,011","544,737",11.07,"3,145,021",10.60,"143,131","3,001,890",11.10,"1,398,086",5.87,"302,380","1,095,706",7.49,"309,489",4.70,"100,118","209,371",6.94
