,county,state,region,poverty_pct
6,Clark,Washington,West,9.2
7,Columbia,Washington,West,12.3
8,Cowlitz,Washington,West,12.6
9,Douglas,Washington,West,10.9
10,Ferry,Washington,West,18
11,Franklin,Washington,West,13.5
12,Garfield,Washington,West,12.9
13,Grant,Washington,West,13.9
14,Grays Harbor,Washington,West,13.1
15,Island,Washington,West,7.3
16,Jefferson,Washington,West,12.6
17,King,Washington,West,7.7
18,Kitsap,Washington,West,7.5
19,Kittitas,Washington,West,14
20,Klickitat,Washington,West,13.5
21,Lewis,Washington,West,12.2
22,Lincoln,Washington,West,9.1
23,Mason,Washington,West,12.8
24,Okanogan,Washington,West,16.4
25,Pacific,Washington,West,13.5
26,Pend Oreille,Washington,West,16.1
27,Pierce,Washington,West,9.4
28,San Juan,Washington,West,8.1
29,Skagit,Washington,West,11.2
30,Skamania,Washington,West,10.4
31,Snohomish,Washington,West,7
32,Spokane,Washington,West,12.9
33,Stevens,Washington,West,14.9
34,Thurston,Washington,West,9.1
35,Wahkiakum,Washington,West,10.8
36,Walla Walla,Washington,West,12.7
37,Whatcom,Washington,West,12.7
38,Whitman,Washington,West,26.3
39,Yakima,Washington,West,16.7
1,Belknap,New Hampshire,North,8.6
2,Carroll,New Hampshire,North,9
3,Cheshire,New Hampshire,North,9.7
4,Coos,New Hampshire,North,13.9
5,Grafton,New Hampshire,North,9.2
6,Hillsborough,New Hampshire,North,7.5
7,Merrimack,New Hampshire,North,6.4
8,Rockingham,New Hampshire,North,5.1
9,Strafford,New Hampshire,North,8.8
10,Sullivan,New Hampshire,North,10.1
