,location,total_poverty_estimate
743,"Rutland, VT",57156.0
744,"Sacramento--Roseville--Arden-Arcade, CA ",2258225.0
745,"Safford, AZ",33458.0
746,"Saginaw, MI ",186434.0
747,"St. Cloud, MN ",188703.0
748,"St. George, UT ",158546.0
749,"St. Joseph, MO-KS ",118203.0
750,"St. Louis, MO-IL ",2746035.0
751,"St. Marys, GA",50749.0
752,"St. Marys, PA",30141.0
753,"Salem, OH",100118.0
754,"Salem, OR ",405687.0
755,"Salina, KS",59315.0
756,"Salinas, CA ",416002.0
757,"Salisbury, MD-DE ",384934.0
758,"Salt Lake City, UT ",1170958.0
759,"San Angelo, TX ",113172.0
760,"San Antonio-New Braunfels, TX ",2384874.0
761,"San Diego-Carlsbad, CA ",3221497.0
762,"Sandpoint, ID",42105.0
763,"Sandusky, OH",73963.0
764,"Sanford, NC",59157.0
765,"San Francisco-Oakland-Hayward, CA ",4611399.0
766,"San Germ�n, PR ",126366.0
767,"San Jose-Sunnyvale-Santa Clara, CA ",1951071.0
768,"San Juan-Carolina-Caguas, PR ",2124679.0
769,"San Luis Obispo-Paso Robles-Arroyo Grande, CA ",265343.0
770,"Santa Cruz-Watsonville, CA ",262312.0
771,"Santa Fe, NM ",146392.0
772,"Santa Isabel, PR",22066.0
773,"Santa Maria-Santa Barbara, CA ",424510.0
774,"Santa Rosa, CA ",494493.0
775,"Sault Ste. Marie, MI",33902.0
776,"Savannah, GA ",367843.0
777,"Sayre, PA",60418.0
778,"Scottsbluff, NE",37239.0
779,"Scottsboro, AL",51548.0
780,"Scranton--Wilkes-Barre--Hazleton, PA ",536323.0
781,"Searcy, AR",74754.0
782,"Seattle-Tacoma-Bellevue, WA ",3753321.0
783,"Sebastian-Vero Beach, FL ",149408.0
784,"Sebring, FL ",100625.0
785,"Sedalia, MO",41398.0
786,"Selinsgrove, PA",38139.0
787,"Selma, AL",39394.0
788,"Seneca, SC",75905.0
789,"Seneca Falls, NY",31604.0
790,"Sevierville, TN",94990.0
791,"Seymour, IN",42843.0
792,"Shawano, WI",44662.0
793,"Shawnee, OK",68877.0
794,"Sheboygan, WI ",111999.0
795,"Shelby, NC",95262.0
796,"Shelbyville, TN",46928.0
797,"Shelton, WA",61286.0
798,"Sheridan, WY",29156.0
799,"Sherman-Denison, TX ",125771.0
800,"Show Low, AZ",105735.0
801,"Shreveport-Bossier City, LA ",431866.0
802,"Sidney, OH",48148.0
803,"Sierra Vista-Douglas, AZ ",117265.0
804,"Sikeston, MO",37904.0
805,"Silver City, NM",27404.0
806,"Sioux City, IA-NE-SD ",164771.0
807,"Sioux Falls, SD ",249246.0
808,"Snyder, TX",15401.0
809,"Somerset, KY",62931.0
810,"Somerset, PA",69779.0
811,"Sonora, CA",50556.0
812,"South Bend-Mishawaka, IN-MI ",308405.0
813,"Spartanburg, SC ",320940.0
814,"Spearfish, SD",24250.0
815,"Spencer, IA",15958.0
816,"Spirit Lake, IA",16785.0
817,"Spokane-Spokane Valley, WA ",540330.0
818,"Springfield, IL ",205634.0
819,"Springfield, MA ",592909.0
820,"Springfield, MO ",443161.0
821,"Springfield, OH ",131773.0
822,"Starkville, MS",44274.0
823,"State College, PA ",143192.0
824,"Statesboro, GA",66548.0
825,"Staunton-Waynesboro, VA ",115652.0
826,"Steamboat Springs, CO",24578.0
827,"Stephenville, TX",39348.0
828,"Sterling, CO",20756.0
829,"Sterling, IL",55287.0
830,"Stevens Point, WI",67250.0
831,"Stillwater, OK",73531.0
832,"Stockton-Lodi, CA ",717960.0
833,"Storm Lake, IA",19217.0
834,"Sturgis, MI",59822.0
835,"Sulphur Springs, TX",35640.0
836,"Summerville, GA",22803.0
837,"Summit Park, UT",40346.0
838,"Sumter, SC ",104409.0
839,"Sunbury, PA",88097.0
840,"Susanville, CA",21230.0
841,"Sweetwater, TX",14659.0
842,"Syracuse, NY ",625030.0
843,"Tahlequah, OK",46889.0
844,"Talladega-Sylacauga, AL",87656.0
845,"Tallahassee, FL ",358370.0
846,"Tampa-St. Petersburg-Clearwater, FL ",2983918.0
847,"Taos, NM",32696.0
848,"Taylorville, IL",31464.0
849,"Terre Haute, IN ",158548.0
850,"Texarkana, TX-AR ",142771.0
851,"The Dalles, OR",25398.0
852,"The Villages, FL ",111523.0
853,"Thomaston, GA",25599.0
854,"Thomasville, GA",43838.0
855,"Tiffin, OH",52243.0
856,"Tifton, GA",38528.0
857,"Toccoa, GA",24786.0
858,"Toledo, OH ",587198.0
859,"Topeka, KS ",227706.0
860,"Torrington, CT",180907.0
861,"Traverse City, MI",145596.0
862,"Trenton, NJ ",352651.0
863,"Troy, AL",31488.0
864,"Truckee-Grass Valley, CA",98014.0
865,"Tucson, AZ ",991092.0
866,"Tullahoma-Manchester, TN",99616.0
867,"Tulsa, OK ",968501.0
868,"Tupelo, MS",137046.0
869,"Tuscaloosa, AL ",229139.0
870,"Twin Falls, ID ",105365.0
871,"Tyler, TX ",219948.0
872,"Ukiah, CA",85862.0
873,"Union City, TN-KY",35817.0
874,"Urbana, OH",37883.0
875,"Urban Honolulu, HI ",955689.0
876,"Utica-Rome, NY ",279981.0
877,"Uvalde, TX",26518.0
878,"Valdosta, GA ",139954.0
879,"Vallejo-Fairfield, CA ",428057.0
880,"Valley, AL",33274.0
881,"Van Wert, OH",27856.0
882,"Vermillion, SD",11775.0
883,"Vernal, UT",35850.0
884,"Vernon, TX",12543.0
885,"Vicksburg, MS",54933.0
886,"Victoria, TX ",97774.0
887,"Vidalia, GA",34892.0
888,"Vincennes, IN",34977.0
889,"Vineland-Bridgeton, NJ ",141164.0
890,"Vineyard Haven, MA",17170.0
891,"Virginia Beach-Norfolk-Newport News, VA-NC ",1652228.0
892,"Visalia-Porterville, CA ",454844.0
893,"Wabash, IN",29712.0
894,"Waco, TX ",254281.0
895,"Wahpeton, ND-MN",21301.0
896,"Walla Walla, WA ",59065.0
897,"Wapakoneta, OH",44997.0
898,"Warner Robins, GA ",184304.0
899,"Warren, PA",39154.0
900,"Warrensburg, MO",48933.0
901,"Warsaw, IN",76965.0
902,"Washington, IN",32420.0
903,"Washington, NC",46721.0
904,"Washington-Arlington-Alexandria, DC-VA-MD-WV ",6032479.0
905,"Washington Court House, OH",28034.0
906,"Waterloo-Cedar Falls, IA ",162999.0
907,"Watertown, SD",27588.0
908,"Watertown-Fort Atkinson, WI",81373.0
909,"Watertown-Fort Drum, NY ",107875.0
910,"Wauchula, FL",25381.0
911,"Wausau, WI ",133271.0
912,"Waycross, GA",51980.0
913,"Weatherford, OK",27616.0
914,"Weirton-Steubenville, WV-OH ",115450.0
915,"Wenatchee, WA ",115873.0
916,"West Plains, MO",39367.0
917,"West Point, MS",19499.0
918,"Wheeling, WV-OH ",135451.0
919,"Whitewater-Elkhorn, WI",100071.0
920,"Wichita, KS ",631983.0
921,"Wichita Falls, TX ",135414.0
922,"Williamsport, PA ",108645.0
923,"Williston, ND",33259.0
924,"Willmar, MN",41865.0
925,"Wilmington, NC ",275085.0
926,"Wilmington, OH",40503.0
927,"Wilson, NC",79774.0
928,"Winchester, VA-WV ",133129.0
929,"Winnemucca, NV",16694.0
930,"Winona, MN",47133.0
931,"Winston-Salem, NC ",647701.0
932,"Wisconsin Rapids-Marshfield, WI",72349.0
933,"Woodward, OK",19906.0
934,"Wooster, OH",112072.0
935,"Worcester, MA-CT ",905658.0
936,"Worthington, MN",21411.0
937,"Yakima, WA ",245489.0
938,"Yankton, SD",21301.0
939,"York-Hanover, PA ",434564.0
940,"Youngstown-Warren-Boardman, OH-PA ",527098.0
941,"Yuba City, CA ",168789.0
942,"Yuma, AZ ",202390.0
943,"Zanesville, OH",83619.0
944,"Zapata, TX",14192.0
945,United States,314943184.0
